pregunta,emocion,intencion,nivel_emocional,recomendacion
desde hace dias me siento en peligro conmigo mismo bastante y me cuesta concentrarme,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
en la tarde me siento tranquilo y animado en silencio que puedo hacer,FELICIDAD,motivacion_positiva,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en el colegio me siento triste sin decirle a nadie que puedo hacer,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
hoy me da temor hablar con mi profesor mucho y quiero estar mejor,MIEDO,buscar_seguridad,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
desde ayer ya no quiero seguir viviendo necesito orientacion,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
en la tarde siento miedo cuando camino solo con mi familia y me cuesta concentrarme,MIEDO,temor_bullying,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
ultimamente me siento tranquilo y animado cuando tengo que exponer,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
desde hace dias tengo demasiados trabajos acumulados cuando tengo tareas me preocupa mucho,ESTRES,expresar_estres,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
gracias por la ayuda puedes ayudarme,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
esta semana me da miedo equivocarme al exponer con mis compañeros,MIEDO,buscar_seguridad,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
necesito decir que me da temor hablar con mi profesor necesito orientacion,MIEDO,buscar_seguridad,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
a veces ya no puedo concentrarme por el estres,ESTRES,sobrecarga_academica,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en la tarde buenas tardes durante clases,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
perdi las ganas de esforzarme puedes ayudarme,DESMOTIVACION,buscar_motivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
a veces tengo rabia por lo que paso en clase en serio necesito apoyo,ENOJO,conflicto_companeros,ALTO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en la tarde me siento apagado desde hace dias y no quiero sentirme asi,TRISTEZA,expresar_tristeza,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en la tarde me siento en peligro conmigo mismo bastante me gustaria hablar con alguien,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
esta semana me tiembla el cuerpo cuando debo exponer puedes ayudarme,ANSIEDAD,preocupacion_academica,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
en las mañanas me siento ansioso me gustaria hablar con alguien,ANSIEDAD,preocupacion_academica,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
necesito decir que me siento saturado con el colegio,ESTRES,sobrecarga_academica,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en la tarde no aguanto mas esta situacion porque me afecta bastante,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
en la tarde tengo una pregunta sobre el colegio necesito orientacion,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
ultimamente siento que todo seria mejor si no estuviera sin decirle a nadie y quiero estar mejor,RIESGO_EMOCIONAL,pedido_ayuda_urgente,ALTO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
desde ayer tengo demasiados trabajos acumulados,ESTRES,cansancio_escolar,ALTO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
por favor tengo miedo de reprobar,ANSIEDAD,buscar_calma,ALTO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
en la tarde me preocupa que mis compañeros se rian en serio necesito apoyo,MIEDO,temor_familiar,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
cuando estoy en clases me siento solo en el colegio puedes ayudarme,TRISTEZA,desahogo_emocional,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando llego a casa me da miedo equivocarme al exponer,MIEDO,temor_familiar,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
cuando estoy en clases hoy no quiero hablar con nadie cada dia mas y me cuesta concentrarme,TRISTEZA,expresar_tristeza,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
necesito decir que logre entregar mi tarea a tiempo demasiado y no quiero sentirme asi,FELICIDAD,agradecimiento,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
en las mañanas buenos dias y me cuesta concentrarme,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
en el colegio ya no disfruto venir a clases con mi familia,TRISTEZA,buscar_apoyo,ALTO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando estoy en clases me siento triste por eso busco ayuda,TRISTEZA,buscar_apoyo,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
cuando estoy en clases no quiero salir al recreo porque tengo miedo por eso busco ayuda,MIEDO,expresar_miedo,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando estoy en clases me duele sentirme asi y quiero estar mejor,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
por favor me dio rabia lo que me dijeron,ENOJO,frustracion,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
por favor me enoje con un profesor y no se que hacer,ENOJO,expresar_enojo,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
desde ayer me enoje con un profesor por eso busco ayuda,ENOJO,conflicto_companeros,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
en la tarde puedes ayudarme con una duda antes de dormir porque me afecta bastante,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en el colegio siento que no puedo controlar mi preocupacion demasiado que puedo hacer,ANSIEDAD,expresar_ansiedad,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
hoy hasta luego,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
estoy llorando y no se que hacer que puedo hacer,TRISTEZA,buscar_apoyo,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
desde ayer me alegra haber hablado con mi profesor,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
desde ayer puedes ayudarme con una duda con mis compañeros,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en las mañanas me molesta que se burlen de mi bastante,ENOJO,expresar_enojo,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
esta semana siento que nada me sale bien y me cuesta concentrarme,DESMOTIVACION,buscar_motivacion,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
esta semana siento inseguridad en el curso demasiado y quiero estar mejor,MIEDO,temor_familiar,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando llego a casa estoy llorando y no se que hacer,TRISTEZA,buscar_apoyo,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en las mañanas no encuentro sentido a estudiar y no se que hacer,DESMOTIVACION,expresar_desmotivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
ultimamente no puedo dormir por pensar en el examen me gustaria hablar con alguien,ANSIEDAD,preocupacion_academica,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
cuando llego a casa me da temor hablar con mi profesor cuando tengo tareas,MIEDO,buscar_seguridad,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
hoy me asusta que me molesten otra vez,MIEDO,expresar_miedo,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
la verdad me siento motivado para estudiar cada dia mas me gustaria hablar con alguien,FELICIDAD,expresar_bienestar,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
a veces siento inseguridad en el curso demasiado,MIEDO,expresar_miedo,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
a veces buenas tardes me preocupa mucho,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
necesito decir que me siento solo en el colegio un poco y quiero mejorar,TRISTEZA,problema_personal,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en la tarde hoy no quiero hablar con nadie y no quiero sentirme asi,TRISTEZA,expresar_tristeza,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
siento mucha presion academica sin decirle a nadie puedes ayudarme,ESTRES,organizacion_estudio,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en las mañanas hoy no quiero hablar con nadie necesito orientacion,TRISTEZA,problema_personal,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
desde hace dias tengo una pregunta sobre el colegio pero no se como explicarlo,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en el colegio me alegra haber hablado con mi profesor con mi familia por eso busco ayuda,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
hoy siento que voy a perder el control,ENOJO,frustracion,MODERADO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en la tarde siento nervios cada vez que entro a clases un poco porque me afecta bastante,ANSIEDAD,buscar_calma,ALTO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
ultimamente no quiero hacer mis tareas demasiado me preocupa mucho,DESMOTIVACION,bajo_rendimiento,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
en las mañanas quiero mejorar pero no tengo fuerzas en silencio por eso busco ayuda,DESMOTIVACION,bajo_rendimiento,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
en las mañanas estoy muy preocupado por mis notas y quiero estar mejor,ANSIEDAD,miedo_examen,ALTO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
cuando llego a casa me siento desanimado con mis clases necesito orientacion,DESMOTIVACION,buscar_motivacion,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde ayer buenas tardes,NEUTRAL,saludo,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en las mañanas ya no quiero seguir viviendo durante clases me gustaria hablar con alguien,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
necesito decir que me dio rabia lo que me dijeron puedes ayudarme,ENOJO,expresar_enojo,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde hace dias siento que nada me sale bien,DESMOTIVACION,falta_interes,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
necesito decir que siento que no vale la pena vivir,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
cuando llego a casa me siento tranquilo y animado bastante porque me afecta bastante,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
a veces ultimamente no tengo ganas de nada mucho,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en el colegio estoy enojado con mis compañeros por eso busco ayuda,ENOJO,conflicto_docente,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
la verdad me molesta que me culpen de todo con mis compañeros y quiero mejorar,ENOJO,frustracion,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
a veces ya no tengo motivacion para estudiar bastante,DESMOTIVACION,falta_interes,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
en las mañanas me asusta que me molesten otra vez,MIEDO,expresar_miedo,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando estoy en clases no se como organizar mis tareas y no se que hacer,ESTRES,expresar_estres,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
